no,SKU,Nama,kategori,satuan,merek,stok keluar,stok masuk,stok tersedia,stok minimal,barcode,lokasi penyimpanan,kadaluarsa,warna,ukuran,p,l,t,keterangan,,
158,SK0158,Tshirt Mi Celebrations XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0158,,01 AGU 2022,,,40,30,2,,,
159,SK0159,Baju Kemeja Unifrom EXPERT TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0159,,01 AGU 2022,,,40,30,2,,,
160,SK0160,Baju Kemeja Unifrom EXPERT S,UNIFORM,PCS,XIAOMI,20,20,0,1,BR0160,,01 AGU 2022,,,40,30,2,,,
161,SK0161,Baju Kemeja Unifrom EXPERT M,UNIFORM,PCS,XIAOMI,28,50,22,1,BR0161,,01 AGU 2022,,,40,30,2,,,
162,SK0162,Baju Kemeja Unifrom EXPERT L,UNIFORM,PCS,XIAOMI,50,70,20,1,BR0162,,01 AGU 2022,,,40,30,2,,,
163,SK0163,Baju Kemeja Unifrom EXPERT XL,UNIFORM,PCS,XIAOMI,10,10,0,1,BR0163,,01 AGU 2022,,,40,30,2,,,
164,SK0164,Baju Kemeja Unifrom EXPERT XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0164,,01 AGU 2022,,,40,30,2,,,
165,SK0165,Baju Kemeja Unifrom EXPERT XXXL,UNIFORM,PCS,XIAOMI,0,0,4,1,BR0165,,01 AGU 2022,,,40,30,2,,,
166,SK0166,Polo Shirt Orange NEW TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0166,,01 AGU 2022,,,40,30,2,,,
167,SK0167,Polo Shirt Orange NEW S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0167,,01 AGU 2022,,,40,30,2,,,
168,SK0168,Polo Shirt Orange NEW M,UNIFORM,PCS,XIAOMI,0,0,12,1,BR0168,,01 AGU 2022,,,40,30,2,,,
169,SK0169,Polo Shirt Orange NEW L,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0169,,01 AGU 2022,,,40,30,2,,,
170,SK0170,Polo Shirt Orange NEW XL,UNIFORM,PCS,XIAOMI,0,0,18,1,BR0170,,01 AGU 2022,,,40,30,2,,,
171,SK0171,Polo Shirt Orange NEW XXL,UNIFORM,PCS,XIAOMI,0,0,22,1,BR0171,,01 AGU 2022,,,40,30,2,,,
172,SK0172,Polo Shirt Orange NEW XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0172,,01 AGU 2022,,,40,30,2,,,
173,SK0173,KEMEJA TRAINER TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0173,,01 AGU 2022,,,40,30,2,,,
174,SK0174,KEMEJA TRAINER S,UNIFORM,PCS,XIAOMI,3,0,4,1,BR0174,,01 AGU 2022,,,40,30,2,,,
175,SK0175,KEMEJA TRAINER M,UNIFORM,PCS,XIAOMI,3,0,3,1,BR0175,,01 AGU 2022,,,40,30,2,,,
176,SK0176,KEMEJA TRAINER L,UNIFORM,PCS,XIAOMI,2,0,9,1,BR0176,,01 AGU 2022,,,40,30,2,,,
177,SK0177,KEMEJA TRAINER XL,UNIFORM,PCS,XIAOMI,1,0,0,1,BR0177,,01 AGU 2022,,,40,30,2,,,
178,SK0178,KEMEJA TRAINER XXL,UNIFORM,PCS,XIAOMI,1,0,2,1,BR0178,,01 AGU 2022,,,40,30,2,,,
179,SK0179,KEMEJA TRAINER XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0179,,01 AGU 2022,,,40,30,2,,,
180,SK0180,KEMEJA TRAINER POLOS TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0180,,01 AGU 2022,,,40,30,2,,,
181,SK0181,KEMEJA TRAINER POLOS S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0181,,01 AGU 2022,,,40,30,2,,,
